Date,Action,Shares,Price,Portfolio Value
2024-04-30 00:00:00-04:00,Buy,54.0,183.27999877929688,102.88006591796875
2024-04-25 00:00:00-04:00,Sell,54.0,170.17999267578125,9292.599670410156
2024-04-12 00:00:00-04:00,Buy,54.0,171.0500030517578,55.899505615234375
2024-04-09 00:00:00-04:00,Sell,54.0,176.8800048828125,9607.41976928711
2024-03-04 00:00:00-05:00,Buy,51.0,188.13999938964844,12.279800415039062
2024-02-16 00:00:00-05:00,Sell,51.0,199.9499969482422,10209.72964477539
2024-01-02 00:00:00-05:00,Buy,41.0,248.4199981689453,24.509719848632812
2023-11-13 00:00:00-05:00,Sell,41.0,223.7100067138672,9196.619995117188
2023-10-12 00:00:00-04:00,Buy,35.0,258.8699951171875,136.170166015625
2023-10-05 00:00:00-04:00,Sell,35.0,260.04998779296875,9237.919738769531
2023-09-22 00:00:00-04:00,Buy,37.0,244.8800048828125,177.35955810546875
2023-08-28 00:00:00-04:00,Sell,37.0,238.82000732421875,9013.699829101562
2023-07-21 00:00:00-04:00,Buy,34.0,260.0199890136719,173.02020263671875
2023-05-16 00:00:00-04:00,Sell,34.0,166.52000427246094,5834.700347900391
2023-04-05 00:00:00-04:00,Buy,31.0,185.52000427246094,83.58021545410156
2023-03-22 00:00:00-04:00,Sell,31.0,191.14999389648438,6009.230026245117
2023-03-03 00:00:00-05:00,Buy,30.0,197.7899932861328,75.53022766113281
2023-01-18 00:00:00-05:00,Sell,30.0,128.77999877929688,3938.930191040039
2022-12-02 00:00:00-05:00,Buy,20.0,194.86000061035156,41.73017883300781
2022-12-01 00:00:00-05:00,Sell,20.0,194.6999969482422,3935.7301177978516
2022-09-22 00:00:00-04:00,Buy,13.0,288.5899963378906,184.06016540527344
2022-09-08 00:00:00-04:00,Sell,13.0,289.260009765625,3944.4402923583984
2022-08-26 00:00:00-04:00,Buy,13.0,288.0899963378906,199.2703399658203
2022-07-06 00:00:00-04:00,Sell,13.0,231.73333740234375,3211.803726196289
2022-06-29 00:00:00-04:00,Buy,14.0,228.49000549316406,12.943649291992188
2022-06-22 00:00:00-04:00,Sell,14.0,236.086669921875,3318.157028198242
2022-04-18 00:00:00-04:00,Buy,9.0,334.7633361816406,305.28700256347656
2022-03-18 00:00:00-04:00,Buy,1.0,301.7966613769531,3.4903411865234375
2022-03-17 00:00:00-04:00,Sell,10.0,290.5333251953125,2908.8235931396484
2022-01-14 00:00:00-05:00,Buy,8.0,349.8699951171875,109.86363220214844
2021-12-23 00:00:00-05:00,Sell,8.0,355.6666564941406,2955.1968841552734
2021-12-01 00:00:00-05:00,Buy,8.0,365.0,35.19688415527344
2021-08-20 00:00:00-04:00,Sell,8.0,226.75332641601562,1849.2234954833984
2021-08-17 00:00:00-04:00,Buy,8.0,221.90333557128906,73.99681091308594
2021-07-29 00:00:00-04:00,Sell,8.0,225.78334045410156,1880.2635345458984
2021-07-15 00:00:00-04:00,Buy,8.0,216.86666870117188,145.33018493652344
2021-06-10 00:00:00-04:00,Sell,8.0,203.3733367919922,1772.316879272461
2021-04-28 00:00:00-04:00,Buy,7.0,231.46665954589844,152.05026245117188
2021-04-01 00:00:00-04:00,Sell,7.0,220.5833282470703,1696.133560180664
2021-02-09 00:00:00-05:00,Buy,5.0,283.1533203125,280.36695861816406
2021-02-01 00:00:00-05:00,Sell,5.0,279.9366760253906,1680.0503387451172
2021-01-29 00:00:00-05:00,Buy,6.0,264.510009765625,92.99028015136719
2021-01-06 00:00:00-05:00,Sell,6.0,251.9933319091797,1604.9502716064453
